鬼砕き・天|武器|5|-85|400|0|0|クリティカルのいりょくがより高くなる。|https://youkai.gamepedia.jp/busters/equipments/4091
月光一文字|武器|6|0|360|0|0|攻撃するほど攻撃力アップ。攻撃しないと効果が切れる。|https://youkai.gamepedia.jp/busters/equipments/16374
月影丸|武器|6|0|360|0|0|攻撃するほど敵のまもりダウン。攻撃しないと効果が切れる。|https://youkai.gamepedia.jp/busters/equipments/16375
月読みの杖|杖|6|0|0|400|-10|味方全員のようりょくがアップ。|https://youkai.gamepedia.jp/busters/equipments/16383
ルナゴールドシールド|盾|6|0|0|0|380|味方全員のまもりがアップ。|https://youkai.gamepedia.jp/busters/equipments/16391
大傘「桜吹雪」|盾|5|0|-25|-25|400|ガードの効果がアップ。|https://youkai.gamepedia.jp/busters/equipments/4236
常闇のフタ|盾|5|0|-20|-20|370|敵からねらわれやすくなる。|https://youkai.gamepedia.jp/busters/equipments/4233
導きのおまもり|おまもり|5|280|-40|-40|265|クリティカルを受けない。|https://youkai.gamepedia.jp/busters/equipments/4272
アルティメットビーム|武器|5|0|0|360|0|敵から離れているほどクリティカルが出やすくなる。|https://youkai.gamepedia.jp/busters/equipments/16370
天界の杖|杖|5|0|0|370|-50|回復技の回復量がアップする。|https://youkai.gamepedia.jp/busters/equipments/4162
碧玉のぬらリング|ゆびわ|5|0|0|280|70|妖気ゲージがたまりやすくなる。|https://youkai.gamepedia.jp/busters/equipments/16385
